City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kurumkan,54.3,110.3,14.4,66,0,0.59,RU,1693432208
1,vorgashor,67.5833,63.95,6.89,80,44,2.21,RU,1693432209
2,greymouth,-42.4667,171.2,8.58,89,93,1.32,NZ,1693432210
3,laojunmiao,39.8333,97.7333,17.58,49,94,2.63,CN,1693432211
4,hawaiian paradise park,19.5933,-154.9731,27.24,87,100,2.57,US,1693432212
5,olonkinbyen,70.9221,-8.7187,5.27,82,47,2.68,SJ,1693432213
6,bredy,52.4153,60.3411,7.77,90,64,6.1,RU,1693432214
7,kristiansund,63.1115,7.732,13.03,94,20,2.06,NO,1693432215
8,badger,64.8,-147.5333,13.33,91,100,3.6,US,1693432216
9,dabakala,8.3667,-4.4333,23.27,90,55,0.56,CI,1693432217
10,qarazhal,48.0078,70.7903,13.33,46,5,5.2,KZ,1693432219
11,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1693432221
12,porto novo,6.4965,2.6036,24.9,94,100,1.8,BJ,1693432222
13,bethel,41.3712,-73.414,27.51,64,4,1.34,US,1693432223
14,pacasmayo,-7.4006,-79.5714,21.87,73,4,6.52,PE,1693432224
15,puerto ayora,-0.7393,-90.3518,29.98,89,87,5.36,EC,1693432225
16,tabou,4.423,-7.3528,24.72,85,94,3.31,CI,1693432226
17,alofi,-19.0595,-169.9187,24.94,69,75,4.12,NU,1693432229
18,cabo san lucas,22.8909,-109.9124,34.78,69,7,1.34,MX,1693432084
19,st. john's,47.5649,-52.7093,18.77,96,100,8.75,CA,1693432232
20,faya-largeau,17.9257,19.1043,36.79,23,45,3.19,TD,1693432234
21,port elizabeth,-33.918,25.5701,17.16,59,0,1.54,ZA,1693432235
22,college,64.8569,-147.8028,13.38,91,100,3.6,US,1693432239
23,edinburgh of the seven seas,-37.0676,-12.3116,11.86,69,32,7.46,SH,1693432242
24,singaraja,-8.112,115.0882,23.56,83,63,1.19,ID,1693432243
25,haiku-pauwela,20.9219,-156.3051,30.01,55,40,10.29,US,1693432246
26,port-aux-francais,-49.35,70.2167,4.99,90,100,18.85,TF,1693432251
27,adamstown,-25.066,-130.1015,20.78,89,100,8.84,PN,1693432253
28,fuyuan,46.4333,127.0833,13.4,97,97,5.53,CN,1693432277
29,pacific grove,36.6177,-121.9166,35.21,71,0,4.47,US,1693432172
30,strelka,58.0728,93.0344,13.07,89,95,2.12,RU,1693432281
31,chiredzi,-21.05,31.6667,15.45,67,29,0.4,ZW,1693432282
32,fukuecho,32.6881,128.8419,26.62,86,82,5.32,JP,1693432284
33,sitka,57.0531,-135.33,15.94,82,100,2.06,US,1693432289
34,kodiak,57.79,-152.4072,11.73,100,100,3.09,US,1693432292
35,port saint john's,-31.6229,29.5448,21.06,41,0,3.28,ZA,1693432294
36,atafu village,-8.5421,-172.5159,28.86,74,54,6.95,TK,1693432295
37,angra do heroismo,38.65,-27.2167,23.4,86,20,1.58,PT,1693432069
38,sultanah,24.4926,39.5857,35.25,8,0,2.06,SA,1693432298
39,whitehorse,60.7161,-135.0538,18.94,48,75,7.72,CA,1693432130
40,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,1693432301
41,stanley,54.868,-1.6985,11.14,94,0,1.03,GB,1693432302
42,yatou,37.15,122.3833,18.44,72,0,1.66,CN,1693432304
43,grytviken,-54.2811,-36.5092,-2.86,77,50,3.41,GS,1693432308
44,yellowknife,62.456,-114.3525,21.29,56,100,2.06,CA,1693432331
45,villa ocampo,-28.4875,-59.3551,22.68,46,0,2.44,AR,1693432334
46,ust-nera,64.5667,143.2,14.59,93,100,4.88,RU,1693432337
47,opuwo,-18.0607,13.84,22.26,28,33,3.24,NA,1693432339
48,santa cruz,-17.8,-63.1667,31.7,40,20,8.23,BO,1693432340
49,puerto natales,-51.7236,-72.4875,2.61,87,99,5.0,CL,1693432342
50,hadibu,12.65,54.0333,26.08,81,20,7.93,YE,1693432346
51,blackmans bay,-43.0167,147.3167,11.07,85,100,4.6,AU,1693432347
